erk_regime,beta_d_R,beta_d_T,lambda_d,n_replicates,pooled_t_zone_deaths_k,pooled_total_deaths_n,t_zone_area_fraction_p0,pooled_t_zone_fraction,pooled_t_zone_density_ratio,pooled_binomial_p_value_greater,bonferroni_alpha,bonferroni_adjusted_p_value,significant_after_bonferroni_0p05
reference_ERK,2.0,0.8,0.25,10,6424,10000,0.4444444444444445,0.6424,2.245525727069351,0.0,0.0033333333333333335,0.0,True
reference_ERK,2.0,0.8,0.5,10,6395,10000,0.4444444444444445,0.6395,2.217406380027739,0.0,0.0033333333333333335,0.0,True
weak_ERK_protection,4.0,1.6,0.25,10,6584,10000,0.4444444444444445,0.6584,2.409250585480094,0.0,0.0033333333333333335,0.0,True
weak_ERK_protection,4.0,1.6,0.5,10,6525,10000,0.4444444444444445,0.6525,2.347122302158273,0.0,0.0033333333333333335,0.0,True
weak_ERK_protection,4.0,1.6,1.0,10,6499,10000,0.4444444444444445,0.6499,2.320408454727221,0.0,0.0033333333333333335,0.0,True
weak_ERK_protection,4.0,1.6,4.0,10,6370,10000,0.4444444444444445,0.637,2.193526170798898,0.0,0.0033333333333333335,0.0,True
reference_ERK,2.0,0.8,1.0,10,6295,10000,0.4444444444444445,0.6295,2.1238191632928474,2.40525435978301e-302,0.0033333333333333335,3.607881539674515e-301,True
reference_ERK,2.0,0.8,4.0,10,6268,10000,0.4444444444444445,0.6268,2.0994105037513395,1.4105680032551372e-293,0.0033333333333333335,2.1158520048827056e-292,True
reference_ERK,2.0,0.8,2.0,10,6219,10000,0.4444444444444445,0.6219,2.056003702724147,5.2113471892417236e-278,0.0033333333333333335,7.817020783862585e-277,True
weak_ERK_protection,4.0,1.6,2.0,10,6171,10000,0.4444444444444445,0.6171,2.014559937320449,3.444665476803634e-263,0.0033333333333333335,5.166998215205451e-262,True
strong_ERK_protection,1.0,0.4,0.25,10,6083,10000,0.4444444444444445,0.6083,1.941217768700536,4.073695709745829e-237,0.0033333333333333335,6.110543564618743e-236,True
strong_ERK_protection,1.0,0.4,0.5,10,5990,10000,0.4444444444444445,0.599,1.8672069825436406,4.282824964814299e-211,0.0033333333333333335,6.424237447221448e-210,True
strong_ERK_protection,1.0,0.4,1.0,10,5944,10000,0.4444444444444445,0.5944,1.8318540433925048,8.403816966996503e-199,0.0033333333333333335,1.2605725450494754e-197,True
strong_ERK_protection,1.0,0.4,2.0,10,5838,10000,0.4444444444444445,0.5838,1.7533637674195097,6.36594298138444e-172,0.0033333333333333335,9.54891447207666e-171,True
strong_ERK_protection,1.0,0.4,4.0,10,5589,10000,0.4444444444444445,0.5589,1.5838245295851283,1.2004033612747556e-116,0.0033333333333333335,1.8006050419121334e-115,True
