experiment,base_scenario,replicate,seed,activation_regime,erk_regime,regime_meaning,lambda_a_T,lambda_a_c,beta_a_R,beta_a_T,lambda_d,beta_d_R,beta_d_T,burn_in_deaths,target_deaths,burn_in_time,analysis_time_span,observed_death_rate_after_burnin,accepted_activations_total,accepted_activations_during_analysis,death_candidates,death_rejected,activation_candidates,activation_rejected,active_center_expirations,erk_zone_expirations,all_proposals,stopped_by_target,n_observed_deaths_analyzed,t_zone_binomial_test_k,t_zone_binomial_test_n,t_zone_area_fraction,t_zone_observed_fraction,t_zone_density_ratio,t_zone_binomial_p_value_greater
E1A_fixed_1000_deaths,E1A_strong_ERK_protection_ld0p25,1,17002,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,500,1000,157.19685836824422,311.9890732773806,3.205240457607079,72896,49285,11686,10186,234068,161172,72842,1492,320088,True,1000,579,1000,0.4444444444444445,0.579,1.7191211401425173,9.647931141777522e-18
E1A_fixed_1000_deaths,E1A_strong_ERK_protection_ld0p25,2,17003,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,500,1000,142.56123588737137,271.92965996318264,3.677421580769795,63820,41881,10202,8702,207305,143485,63768,1493,282768,True,1000,624,1000,0.4444444444444445,0.624,2.0744680851063824,3.082809139451359e-30
E1A_fixed_1000_deaths,E1A_strong_ERK_protection_ld0p25,3,17004,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,500,1000,156.90996926654066,285.9410858516524,3.4972239019851967,68254,43985,11103,9603,221238,152984,68210,1493,302044,True,1000,582,1000,0.4444444444444445,0.582,1.740430622009569,1.835697808477806e-18
E1A_fixed_1000_deaths,E1A_strong_ERK_protection_ld0p25,4,17005,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,500,1000,142.66210892142388,300.1014186404144,3.332206840375565,67835,45259,11028,9528,221838,154003,67794,1487,302147,True,1000,619,1000,0.4444444444444445,0.619,2.030839895013123,1.1425539729527616e-28
E1A_fixed_1000_deaths,E1A_strong_ERK_protection_ld0p25,5,17006,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,500,1000,166.49594140195535,292.94690967712773,3.413587810508576,69158,45003,11371,9871,229482,160324,69116,1485,311454,True,1000,638,1000,0.4444444444444445,0.638,2.2030386740331487,7.0916337491396e-35
E1A_fixed_1000_deaths,E1A_strong_ERK_protection_ld0p25,6,17007,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,500,1000,159.46883879517267,277.1671672268128,3.607930946531178,69867,44084,10767,9267,217371,147504,69822,1491,299451,True,1000,608,1000,0.4444444444444445,0.608,1.9387755102040811,2.234072913876237e-25
E1A_fixed_1000_deaths,E1A_strong_ERK_protection_ld0p25,7,17008,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,500,1000,158.97959892744515,272.0684755762484,3.6755452754383726,68469,43440,10864,9364,214813,146344,68414,1483,295574,True,1000,593,1000,0.4444444444444445,0.593,1.8212530712530708,3.0577837962605008e-21
E1A_fixed_1000_deaths,E1A_strong_ERK_protection_ld0p25,8,17009,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,500,1000,142.74284036431123,298.8358342092434,3.3463188999609894,69666,48194,11036,9536,221137,151471,69629,1494,303296,True,1000,625,1000,0.4444444444444445,0.625,2.0833333333333326,1.4779426351443492e-30
E1A_fixed_1000_deaths,E1A_strong_ERK_protection_ld0p25,9,17010,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,500,1000,165.39741342164294,294.77434346343557,3.3924255016584985,66405,43601,11572,10072,229404,162999,66341,1485,308802,True,1000,623,1000,0.4444444444444445,0.623,2.0656498673740047,6.403222596638276e-30
E1A_fixed_1000_deaths,E1A_strong_ERK_protection_ld0p25,10,17011,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,500,1000,138.49548834470127,307.89375573560017,3.2478735972116866,67893,46277,11237,9737,222260,154367,67851,1490,302838,True,1000,592,1000,0.4444444444444445,0.592,1.8137254901960782,5.582867387313631e-21
