erk_regime,beta_d_R,beta_d_T,lambda_d,n_observed_deaths_analyzed_mean,n_observed_deaths_analyzed_std,n_observed_deaths_analyzed_min,n_observed_deaths_analyzed_max,analysis_time_span_mean,analysis_time_span_std,analysis_time_span_min,analysis_time_span_max,observed_death_rate_after_burnin_mean,observed_death_rate_after_burnin_std,observed_death_rate_after_burnin_min,observed_death_rate_after_burnin_max,accepted_activations_during_analysis_mean,accepted_activations_during_analysis_std,accepted_activations_during_analysis_min,accepted_activations_during_analysis_max,t_zone_observed_fraction_mean,t_zone_observed_fraction_std,t_zone_observed_fraction_min,t_zone_observed_fraction_max,t_zone_density_ratio_mean,t_zone_density_ratio_std,t_zone_density_ratio_min,t_zone_density_ratio_max,t_zone_binomial_p_value_greater_mean,t_zone_binomial_p_value_greater_std,t_zone_binomial_p_value_greater_min,t_zone_binomial_p_value_greater_max,death_candidates_mean,death_candidates_std,death_candidates_min,death_candidates_max,death_rejected_mean,death_rejected_std,death_rejected_min,death_rejected_max,activation_candidates_mean,activation_candidates_std,activation_candidates_min,activation_candidates_max,activation_rejected_mean,activation_rejected_std,activation_rejected_min,activation_rejected_max
reference_ERK,2.0,0.8,0.25,360.7,27.920721098615385,319,413,61.34990627145835,1.160311428702309e-14,61.34990627145834,61.349906271458366,5.879389585437843,0.4551061736765013,5.199681945535546,6.731876625411225,9441.8,508.2144779082504,8483,10236,0.6491922759398614,0.03367086809472754,0.6037735849056604,0.6984615384615385,2.3432845878032,0.3492019513092452,1.9047619047619042,2.895408163265305,1.249001380953601e-10,2.665977288223505e-10,9.473311992293062e-22,7.257940246601474e-10,3649.9,164.58462868688557,3353,3878,2789.2,164.7967097837683,2509,3053,73194.0,2604.434508892689,69044,76537,50498.1,2384.486734894722,46149,53640
reference_ERK,2.0,0.8,0.5,642.7,58.03265364334883,537,748,61.34990627145835,4.736951571734001e-15,61.349906271458345,61.34990627145836,10.475973625064878,0.945928969908585,8.753069607374886,12.192357665393695,9801.3,818.2872424223115,8455,10985,0.6427194967838047,0.029672897534605402,0.5857142857142857,0.6766091051805337,2.269327491262443,0.2773617947235719,1.7672413793103445,2.6152912621359214,4.494987342258714e-15,1.413612416503178e-14,3.0182668899749544e-32,4.472660644703621e-14,5545.6,136.84313809776665,5287,5764,4402.9,144.6270683132617,4087,4606,55519.1,1284.6167997586747,53342,57338,38117.1,1554.0929794863905,35253,40005
reference_ERK,2.0,0.8,1.0,946.5,91.65181697901878,801,1097,61.34990627145835,5.296072860260849e-15,61.349906271458345,61.34990627145836,15.427896430875844,1.4939194295339564,13.056254665749133,17.881037913017224,9379.3,848.0799294091726,7998,10723,0.6317434975745446,0.03296884227552702,0.5853131749460043,0.6778593913955928,2.1691995642505995,0.30870163636325737,1.7643229166666663,2.6302931596091197,5.594177220861511e-19,1.7676260513537253e-18,7.646669810164979e-48,5.590168418749278e-18,9296.6,636.1923538609302,8268,10555,7850.1,633.7180322860037,6815,9078,46529.7,2466.591757871578,42276,51292,32515.4,2409.6837597955086,28378,36519
reference_ERK,2.0,0.8,2.0,1443.4,175.8321168994258,1248,1733,61.34990627145835,3.3495305785253868e-15,61.349906271458345,61.34990627145836,23.52733830779313,2.866053553878494,20.34232936686007,28.24780191728245,9509.9,1054.1285447652429,8297,10952,0.6197458617006879,0.024140280999114798,0.584535487593768,0.6535947712418301,2.0493004279101514,0.21078066077604188,1.7586805555555551,2.3584905660377355,6.167717393188799e-30,1.9379240039894893e-29,5.054123926951585e-55,6.132176327578785e-29,16564.2,659.42395737155,15074,17215,14620.8,658.9722300673982,13105,15359,41226.9,1598.5064869711634,37933,43541,28681.1,1832.9554428723998,24966,30894
reference_ERK,2.0,0.8,4.0,1918.9,147.61545387330628,1656,2121,61.34990627145835,0.0,61.34990627145835,61.34990627145835,31.27796139588765,2.406123543533122,26.99270627525663,34.57217995762036,9777.6,811.5954383530969,8679,11605,0.6076381169030812,0.025568698419166182,0.5587334014300307,0.6461693548387096,1.9478450983735889,0.20535340077235237,1.5827546296296293,2.282763532763532,2.415308112440398e-25,7.63787488639069e-25,5.0613152800213044e-73,2.4153081124395335e-24,31249.7,963.7225338354519,29657,32853,28830.8,964.0838829341225,27036,30455,38996.5,1105.47739813068,36957,40775,26970.6,1537.7811721221374,24478,29671
strong_ERK_protection,1.0,0.4,0.25,219.5,36.45164224314485,166,294,61.34990627145835,1.3605857528721374e-14,61.34990627145834,61.349906271458366,3.5778375769437387,0.5941597055072141,2.705790604886837,4.7921833604622295,9622.1,1016.1946937253488,7686,11157,0.6146811245177567,0.0624200262085564,0.5476190476190477,0.7409638554216867,2.086853482615642,0.6454854660490587,1.5131578947368418,3.575581395348836,0.00011000140832814818,0.00017545937234287188,8.567686893541436e-15,0.00041333925389766877,5410.1,214.4219360668742,5103,5766,4690.6,212.1488994917381,4389,5064,109309.6,4099.958812801257,103660,114727,76037.4,3259.4995253191187,71128,80986
strong_ERK_protection,1.0,0.4,0.5,285.5,40.55517503626661,219,352,61.34990627145835,1.0592145720521698e-14,61.34990627145834,61.349906271458366,4.6536338415372995,0.661047057787177,3.569687605242271,5.7375800778323285,9631.7,845.7792002381918,8013,10955,0.5811859349391492,0.041883374642280716,0.5215827338129496,0.6382978723404256,1.761599899338981,0.30043162763136794,1.3627819548872178,2.205882352941176,0.0006866458030454454,0.001827307425299398,4.6033401821947325e-11,0.0058663102944811855,8640.0,488.1240734804125,7640,9113,7854.5,475.1772184026596,6831,8335,86425.5,4915.25431126859,76850,90864,59854.8,4250.852484437027,50059,63880
strong_ERK_protection,1.0,0.4,1.0,346.3,35.23271838000079,293,379,61.34990627145836,8.204640795236539e-15,61.34990627145835,61.349906271458366,5.64467040043561,0.5742913155254813,4.775883417059295,6.177678549711511,9572.4,933.4697757411442,8090,11330,0.5840124239484231,0.03242885627560306,0.5481727574750831,0.6306068601583114,1.7719438632225164,0.24323570523363353,1.5165441176470584,2.1339285714285707,2.7538421711699767e-05,5.976035362654792e-05,2.4919559836275074e-13,0.0001924775654562326,14492.2,881.5922211796355,13429,16314,13645.9,900.7546774171582,12555,15473,72780.3,4238.925651362356,67345,81727,50340.1,3666.6196800019743,45649,57254
strong_ERK_protection,1.0,0.4,2.0,455.0,37.89459064299284,374,508,61.34990627145836,7.489778066296963e-15,61.34990627145835,61.349906271458366,7.4164742483344,0.6176796827580872,6.096178832696848,8.280371248689836,9572.1,803.6956928257524,8334,10673,0.5791604367664739,0.029361221746750495,0.54,0.6373873873873874,1.7339622775285561,0.21900845113477546,1.4673913043478257,2.197204968944099,3.4969588974545408e-06,9.237646664917762e-06,2.3530987533361016e-16,2.9519557374276863e-05,26099.6,1689.7667294629741,24629,29927,25144.6,1681.1586084205935,23621,28973,65445.5,4185.133802454163,62124,75134,45683.5,3889.4942044778345,41056,54068
strong_ERK_protection,1.0,0.4,4.0,551.8,42.36560449756906,480,588,61.34990627145835,7.105427357601002e-15,61.349906271458345,61.349906271458366,8.994308769738291,0.6905569555414084,7.823972833407719,9.584366720924454,9578.1,723.0588496104588,8265,10615,0.5912197158293463,0.029444482544165547,0.5580589254766031,0.6614310645724258,1.8238063743145752,0.2466199948605332,1.578431372549019,2.44201030927835,3.092093045794308e-09,8.912005995752496e-09,1.1421574473352678e-25,2.8402000362044565e-08,47926.2,2124.1480279030566,46005,52866,46874.4,2112.3168533363773,44944,51778,60025.9,2723.665114428635,57688,66399,41465.3,2459.822037374971,39086,46909
