scenario,seed,burn_in_time,observation_time_after_burnin,final_time,analysis_time_span,accepted_activations_total,accepted_activations_during_analysis,death_candidates,death_rejected,activation_candidates,activation_rejected,active_center_expirations,erk_zone_expirations,all_proposals,stopped_by_time,n_observed_deaths_analyzed,t_zone_binomial_test_k,t_zone_binomial_test_n,t_zone_area_fraction,t_zone_observed_fraction,t_zone_density_ratio,t_zone_binomial_p_value_greater,experiment,base_scenario,replicate,activation_regime,erk_regime,regime_meaning,lambda_a_T,lambda_a_c,beta_a_R,beta_a_T,lambda_d,beta_d_R,beta_d_T,observed_death_rate_after_burnin
E1B_strong_ERK_protection_ld0p25__rep01,27002,168.80811043580695,61.34990627145835,230.1580167072653,61.34990627145834,34782,9902,5766,5064,114727,79945,34719,698,155910,True,202,114,202,0.4444444444444445,0.5643564356435643,1.6193181818181814,0.00040938846791114554,E1B_fixed_physical_time,E1B_strong_ERK_protection_ld0p25,1,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,3.292588567392416
E1B_strong_ERK_protection_ld0p25__rep02,27003,146.38639426299008,61.34990627145835,207.73630053444845,61.349906271458366,31256,9790,5160,4473,103958,72702,31198,679,140995,True,187,118,187,0.4444444444444445,0.6310160427807486,2.137681159420289,2.213887636677599e-07,E1B_fixed_physical_time,E1B_strong_ERK_protection_ld0p25,2,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,3.0480894163484233
E1B_strong_ERK_protection_ld0p25__rep03,27004,156.22811668978466,61.34990627145835,217.578022961243,61.34990627145834,32811,11157,5410,4616,108292,75481,32732,778,147212,True,294,161,294,0.4444444444444445,0.5476190476190477,1.5131578947368418,0.00024302997217400056,E1B_fixed_physical_time,E1B_strong_ERK_protection_ld0p25,3,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,4.7921833604622295
E1B_strong_ERK_protection_ld0p25__rep04,27005,152.49925594266978,61.34990627145835,213.8491622141281,61.34990627145834,32266,7686,5291,4625,106730,74464,32241,656,144918,True,166,123,166,0.4444444444444445,0.7409638554216867,3.575581395348836,8.567686893541436e-15,E1B_fixed_physical_time,E1B_strong_ERK_protection_ld0p25,4,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,2.705790604886837
E1B_strong_ERK_protection_ld0p25__rep05,27006,157.14948288679574,61.34990627145835,218.49938915825408,61.34990627145834,33211,9849,5340,4596,109330,76119,33176,736,148582,True,244,147,244,0.4444444444444445,0.6024590163934426,1.894329896907216,5.128213624981108e-07,E1B_fixed_physical_time,E1B_strong_ERK_protection_ld0p25,5,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,3.9771861903155914
E1B_strong_ERK_protection_ld0p25__rep06,27007,150.0813998331867,61.34990627145835,211.43130610464505,61.34990627145834,33370,9167,5310,4586,106653,73283,33341,710,146014,True,224,146,224,0.4444444444444445,0.6517857142857143,2.3397435897435894,3.3855388244742974e-10,E1B_fixed_physical_time,E1B_strong_ERK_protection_ld0p25,6,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,3.6511873222569364
E1B_strong_ERK_protection_ld0p25__rep07,27008,164.690643913717,61.34990627145835,226.04055018517533,61.34990627145834,35993,10542,5479,4747,113268,77275,35944,720,155411,True,232,135,232,0.4444444444444445,0.5818965517241379,1.7396907216494841,1.7991444464488557e-05,E1B_fixed_physical_time,E1B_strong_ERK_protection_ld0p25,7,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,3.7815868694803987
E1B_strong_ERK_protection_ld0p25__rep08,27009,146.51784128154807,61.34990627145835,207.86774755300644,61.349906271458366,32532,8503,5103,4389,103660,71128,32470,707,141940,True,214,126,214,0.4444444444444445,0.5887850467289719,1.7897727272727268,1.553037376789106e-05,E1B_fixed_physical_time,E1B_strong_ERK_protection_ld0p25,8,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,3.4881878882276074
E1B_strong_ERK_protection_ld0p25__rep09,27010,164.4222792791937,61.34990627145835,225.77218555065207,61.349906271458366,32048,9241,5560,4870,113034,80986,31985,684,151263,True,190,130,190,0.4444444444444445,0.6842105263157895,2.708333333333333,2.2377671460198933e-11,E1B_fixed_physical_time,E1B_strong_ERK_protection_ld0p25,9,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,3.0969892465572215
E1B_strong_ERK_protection_ld0p25__rep10,27011,165.0791985754746,61.34990627145835,226.42910484693294,61.34990627145834,34453,10384,5682,4940,113444,78991,34420,733,154279,True,242,134,242,0.4444444444444445,0.5537190082644629,1.5509259259259256,0.00041333925389766877,E1B_fixed_physical_time,E1B_strong_ERK_protection_ld0p25,10,medium_activation,strong_ERK_protection,"large ERK radius, long ERK lifetime",0.5,0.005,2.5,3.0,0.25,1.0,0.4,3.944586303509726
