experiment,base_scenario,replicate,seed,activation_regime,erk_regime,regime_meaning,lambda_a_T,lambda_a_c,beta_a_R,beta_a_T,lambda_d,beta_d_R,beta_d_T,burn_in_deaths,target_deaths,burn_in_time,analysis_time_span,observed_death_rate_after_burnin,accepted_activations_total,accepted_activations_during_analysis,death_candidates,death_rejected,activation_candidates,activation_rejected,active_center_expirations,erk_zone_expirations,all_proposals,stopped_by_target,n_observed_deaths_analyzed,t_zone_binomial_test_k,t_zone_binomial_test_n,t_zone_area_fraction,t_zone_observed_fraction,t_zone_density_ratio,t_zone_binomial_p_value_greater
E2_activation_localization_x_deathERK,E2_non_local_activation_strong_ERK_protection_ld0p25,1,37002,non_local_activation,strong_ERK_protection,"activation: large and long-lived active disks; ERK: large ERK radius, long ERK lifetime",0.5,0.005,1.0,1.2,0.25,1.0,0.4,500,1000,63.21415985949281,117.25459656794843,8.52845030617205,90153,58621,4438,2938,90268,115,89756,1480,185942,True,1000,429,1000,0.4444444444444445,0.429,0.939141856392294,0.8448845210432233
E2_activation_localization_x_deathERK,E2_non_local_activation_strong_ERK_protection_ld0p25,2,37003,non_local_activation,strong_ERK_protection,"activation: large and long-lived active disks; ERK: large ERK radius, long ERK lifetime",0.5,0.005,1.0,1.2,0.25,1.0,0.4,500,1000,62.47717994798172,130.38864327631546,7.669379593749064,96440,65339,4887,3387,96624,184,96004,1473,198988,True,1000,391,1000,0.4444444444444445,0.391,0.8025451559934317,0.9997187014363905
E2_activation_localization_x_deathERK,E2_non_local_activation_strong_ERK_protection_ld0p25,3,37004,non_local_activation,strong_ERK_protection,"activation: large and long-lived active disks; ERK: large ERK radius, long ERK lifetime",0.5,0.005,1.0,1.2,0.25,1.0,0.4,500,1000,57.16756855803694,134.74937404903352,7.421184751745957,95747,67434,4811,3311,95880,133,95331,1478,197500,True,1000,422,1000,0.4444444444444445,0.422,0.912629757785467,0.9280825019216852
E2_activation_localization_x_deathERK,E2_non_local_activation_strong_ERK_protection_ld0p25,4,37005,non_local_activation,strong_ERK_protection,"activation: large and long-lived active disks; ERK: large ERK radius, long ERK lifetime",0.5,0.005,1.0,1.2,0.25,1.0,0.4,500,1000,75.81630188006697,118.06618422476548,8.469825687736936,96535,58932,4911,3411,96754,219,96120,1470,199255,True,1000,397,1000,0.4444444444444445,0.397,0.8229684908789385,0.9989051723477118
E2_activation_localization_x_deathERK,E2_non_local_activation_strong_ERK_protection_ld0p25,5,37006,non_local_activation,strong_ERK_protection,"activation: large and long-lived active disks; ERK: large ERK radius, long ERK lifetime",0.5,0.005,1.0,1.2,0.25,1.0,0.4,500,1000,53.652439835849435,124.17739904539252,8.052995212393313,88865,62255,4532,3032,88941,76,88452,1470,183395,True,1000,407,1000,0.4444444444444445,0.407,0.8579258010118042,0.9922717402795456
E2_activation_localization_x_deathERK,E2_non_local_activation_strong_ERK_protection_ld0p25,6,37007,non_local_activation,strong_ERK_protection,"activation: large and long-lived active disks; ERK: large ERK radius, long ERK lifetime",0.5,0.005,1.0,1.2,0.25,1.0,0.4,500,1000,64.49151727520754,131.31795569125526,7.615104840278838,97621,65751,4861,3361,97736,115,97165,1483,201245,True,1000,438,1000,0.4444444444444445,0.438,0.9741992882562275,0.6703800442413854
E2_activation_localization_x_deathERK,E2_non_local_activation_strong_ERK_protection_ld0p25,7,37008,non_local_activation,strong_ERK_protection,"activation: large and long-lived active disks; ERK: large ERK radius, long ERK lifetime",0.5,0.005,1.0,1.2,0.25,1.0,0.4,500,1000,61.226221188741,127.85086905001208,7.821612848081814,95095,64237,4585,3085,95124,29,94714,1487,195910,True,1000,414,1000,0.4444444444444445,0.414,0.8831058020477813,0.9757629594569542
E2_activation_localization_x_deathERK,E2_non_local_activation_strong_ERK_protection_ld0p25,8,37009,non_local_activation,strong_ERK_protection,"activation: large and long-lived active disks; ERK: large ERK radius, long ERK lifetime",0.5,0.005,1.0,1.2,0.25,1.0,0.4,500,1000,63.7678585586813,138.78968374877553,7.205146470469009,100923,69225,5131,3631,101048,125,100465,1478,208122,True,1000,409,1000,0.4444444444444445,0.409,0.8650592216582061,0.9890857901584175
E2_activation_localization_x_deathERK,E2_non_local_activation_strong_ERK_protection_ld0p25,9,37010,non_local_activation,strong_ERK_protection,"activation: large and long-lived active disks; ERK: large ERK radius, long ERK lifetime",0.5,0.005,1.0,1.2,0.25,1.0,0.4,500,1000,69.87088615773814,134.641941831879,7.4271061928730395,101499,66892,5029,3529,101673,174,101075,1480,209257,True,1000,407,1000,0.4444444444444445,0.407,0.8579258010118042,0.9922717402795456
E2_activation_localization_x_deathERK,E2_non_local_activation_strong_ERK_protection_ld0p25,10,37011,non_local_activation,strong_ERK_protection,"activation: large and long-lived active disks; ERK: large ERK radius, long ERK lifetime",0.5,0.005,1.0,1.2,0.25,1.0,0.4,500,1000,65.38599615117701,133.79014803425758,7.474391909215508,99203,66817,4786,3286,99309,106,98791,1484,204370,True,1000,405,1000,0.4444444444444445,0.405,0.8508403361344536,0.9946095719924086
